,time, signalLevel, blinkStrength, attention, meditation, lowGamma, highGamma, highAlpha, delta, highBeta, lowAlpha, lowBeta, theta,Valence,Arousal,Dominance
211,185.7639355659485,0,0,66,53,5006,2464,7924,14368,16406,4543,17468,14792,5,2,3
212,186.76360392570496,0,0,66,54,5862,3422,12400,27282,11041,25716,19735,8094,5,2,3
213,187.7602331638336,0,0,67,78,7225,3565,35471,57059,9341,5007,9865,11060,5,2,3
214,188.79394698143005,0,0,64,69,3412,2603,5227,48404,6528,17254,13736,14061,5,2,3
215,189.7660310268402,0,0,64,69,3412,2603,5227,48404,6528,17254,13736,14061,5,2,3
216,189.7660310268402,0,0,64,69,3412,2603,5227,48404,6528,17254,13736,14061,5,2,3
217,189.7660310268402,0,0,61,78,3086,2210,5842,21911,10096,10507,9195,7921,5,2,3
218,190.7652292251587,0,0,74,67,5790,4813,7298,14438,15380,5935,9835,6247,5,2,3
219,191.759197473526,0,0,80,57,6190,2111,6788,12676,8634,9020,13365,8644,5,2,3
220,192.79373598098755,0,0,91,57,5424,2411,9853,2665,18413,15859,14326,9910,5,2,3
221,193.76385760307312,0,0,91,60,4552,3992,13203,5333,9747,2947,7472,5218,5,2,3
222,194.7619390487671,0,0,77,70,3282,2644,17592,22438,7323,12254,13979,7323,5,2,3
223,195.760021686554,0,0,70,83,4751,6404,4522,57124,15309,51056,8570,13069,5,2,3
224,196.7552330493927,0,0,63,80,5348,3663,10694,17262,6838,4924,13013,16993,5,2,3
225,197.7571811676025,0,0,50,84,4000,3177,7707,10612,7467,38666,11150,14461,5,2,3
226,198.7862832546234,0,0,57,69,5433,5207,4787,10549,11883,6675,18038,13573,5,2,3
227,199.75318598747253,0,0,57,69,5433,5207,4787,10549,11883,6675,18038,13573,5,2,3
228,199.75318598747253,0,0,57,69,5433,5207,4787,10549,11883,6675,18038,13573,5,2,3
229,199.75469064712524,0,0,61,63,2952,3264,8607,8961,10027,15759,14218,5819,5,2,3
244,213.7690770626068,0,0,35,69,1885,1038,3661,46349,1827,10245,1621,26366,3,2,1
245,214.7679274082184,0,0,29,64,1141,805,4397,28249,2134,2159,4052,6889,3,2,1
246,215.7636363506317,0,0,17,64,5841,2450,26836,137904,9721,21886,18491,63167,3,2,1
247,216.32695698738095,0,42,17,64,5841,2450,26836,137904,9721,21886,18491,63167,3,2,1
248,216.76719212532043,0,0,23,54,1949,1103,3588,216765,2390,5895,5332,12862,3,2,1
249,217.7654550075531,0,0,37,57,7791,3734,16028,40024,7462,10995,18121,15286,3,2,1
250,218.76386284828183,0,0,43,63,6762,2671,8473,60591,17472,27249,9472,20793,3,2,1
251,219.7597725391388,0,0,43,63,6762,2671,8473,60591,17472,27249,9472,20793,3,2,1
252,219.76077270507807,0,0,43,63,6762,2671,8473,60591,17472,27249,9472,20793,3,2,1
253,219.79135131835935,0,0,54,67,2854,7257,5824,247548,28798,57630,15518,45222,3,2,1
254,220.7621660232544,0,0,50,74,5628,4488,17069,77435,6194,35935,22266,38576,3,2,1
255,221.76529932022092,0,0,63,64,7305,3535,5210,17190,17983,7909,9984,11581,3,2,1
256,222.762699842453,0,0,63,69,3966,4976,15939,37391,17002,29287,10942,8193,3,2,1
257,223.75655937194824,0,0,69,57,2966,2197,6353,3854,12305,3602,11970,13538,3,2,1
258,224.75442242622373,0,0,81,69,4497,4041,1743,5174,8511,41349,6712,3399,3,2,1
259,225.75406908988955,0,0,60,75,6810,6997,8296,84623,13783,55093,17823,103486,3,2,1
260,226.78703570365903,0,0,47,56,3166,4151,4499,815444,4891,7084,4295,37571,3,2,1
261,227.75498747825625,0,0,29,54,33265,24454,5419,1830238,15825,31044,17795,118674,3,2,1
